513,ENOPH1
514,ENTPD1
515,EP300
516,EPB41L2
517,EPB41L3
518,EPHA5
519,ERBB2
520,ERBB2IP
521,ERBB3
522,ERBB4
523,ERCC8
524,ERF
525,ERG
526,ERP44
527,ERRFI1
528,ESM1
529,ESR1
530,ESRRA
531,ETS1
532,ETV7
533,EXO1
534,EXOC2
535,EXOC3
536,EXOC5
537,EXOC6B
538,EXOSC10
539,EXOSC2
540,EXT1
541,EZH1
542,EZH2
543,EZR
544,F11R
545,F2
546,F2RL1
547,F3
548,FABP3
549,FADD
550,FAF1
551,FAM32A
552,FAM46A
553,FAM57A
554,FAM96A
555,FANCD2
556,FANCI
557,FAR1
558,FARSA
559,FASN
560,FAU
561,FBLN2
562,FBN1
563,FBN2
564,FBXL18
565,FBXO11
566,FBXO28
567,FBXO33
568,FBXO8
569,FBXW11
570,FBXW2
571,FBXW7
572,FDPS
573,FEM1A
574,FEN1
575,FERMT2
576,FGF7
577,FGFR1
578,FGFR2
579,FGFR3
580,FHIT
581,FIS1
582,FIZ1
583,FKBP1A
584,FKBP1B
585,FKBP4
586,FKBP8
587,FLII
588,FLNA
589,FLNB
590,FLNC
591,FLOT1
592,FLOT2
593,FMNL2
594,FMNL3
595,FMR1
596,FN1
597,FNTB
598,FOLR1
599,FOS
600,FOXO1
601,FOXO3
602,FOXP1
603,FSCN1
604,FSTL3
605,FUBP1
606,FUBP3
607,FURIN
608,FUZ
609,FYTTD1
610,FZD4
611,FZD8
612,G3BP1
613,G3BP2
614,G6PD
615,GAB1
616,GAK
617,GALT
618,GANAB
619,GAPDH
620,GATA3
621,GATA4
622,GATA6
623,GATAD2B
624,GBP3
625,GCA
626,GCH1
627,GCSH
628,GEMIN4
629,GIGYF1
630,GIT1
631,GJA1
632,GJB3
633,GKAP1
634,GLCCI1
635,GLI2
636,GLTSCR2
637,GLUL
638,GMNN
639,GNA13
640,GNAI1
641,GNAI2
642,GNAI3
643,GNB1
644,GNB2
645,GNG5
646,GNRHR
647,GOLGA3
648,GOLGA4
649,GOLGA5
650,GOLGA7
651,GOLM1
652,GOT2
653,GPAA1
654,GPBP1
655,GPC1
656,GPD2
657,GPI
658,GPSM2
659,GRIA2
660,GRIA4
661,GRIPAP1
662,GRK6
663,GRN
664,GRPEL2
665,GSC
666,GSTO1
667,GTF2B
668,GTF2H1
669,GTF2H3
670,GTF2H4
671,GTF2I
672,GTF3C1
673,GTF3C3
674,GTPBP1
675,GTPBP4
676,H1F0
677,H2AFX
678,H2AFY
679,H3F3B
680,HACE1
681,HADH
682,HAND2
683,HCFC1
684,HCLS1
685,HCN2
686,HCN4
687,HDAC1
688,HDAC2
689,HDAC4
690,HDAC6
691,HDAC8
692,HDHD2
693,HDLBP
694,HEATR2
695,HERC2
696,HERC5
697,HERC6
698,HERPUD1
699,HES1
700,HEY1
701,HIC2
702,HIF1A
703,HIF3A
704,HIPK1
705,HIPK3
706,HIST1H1B
707,HIST1H3H
708,HIST1H4A
709,HIST2H2AC
710,HIST2H3C
711,HIST3H3
712,HIVEP2
713,HK2
714,HLA-C
715,HMGA1
716,HMGA2
717,HMGB1
718,HMGN1
719,HMOX1
720,HN1
721,HNF4A
722,HNRNPA0
723,HNRNPA1
724,HNRNPA3
725,HNRNPC
726,HNRNPD
727,HNRNPH1
728,HNRNPK
729,HNRNPM
730,HNRNPU
731,HOMER1
732,HOMER2
733,HOOK1
734,HOXA11
735,HOXA5
736,HOXA7
737,HOXB13
738,HOXB7
739,HOXB8
740,HOXC8
741,HOXD10
742,HPS4
743,HRAS
744,HSD17B4
745,HSP90AA1
746,HSP90AB1
747,HSP90B1
748,HSPA14
749,HSPA1A
750,HSPA1B
751,HSPA4
752,HSPBP1
753,HSPD1
754,HTT
755,HUWE1
756,HYI
757,ICAM1
758,ICOS
759,ID1
